Sr. no. ,Song Title ,Movie,Year of release,Music director,Song type,Singer type,Singers,Youtube link,Audio Link
201,Gata Rahe Mera dil,Guide,1965,S D Burman,Duet,Male& Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=r_okjIlatAw,http://mymp3song.org/filedownload/2809/gaata_rahe_mera_dil
202,Gali gali shor,Aar Par,1985,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=eKrnhZgTYI0,http://mymp3song.org/filedownload/12236/gali_gali_shor
203,Galiyon Galiyon,Swami Dada,1982,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=lgSJBBuWH20,http://mymp3song.org/filedownload/14955/galiyon_galiyon
204,Gana Na Aaya,Miss Mary,1957,Hemant Kumar,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=PvlFaKKvRLk,http://mymp3song.org/filedownload/11505/gana_na_aaya
205,Ganga Ghat ka Pani Piya Hai,Ponga Pandit,1975,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=v2bqp81-O5Y,http://mymp3song.org/filedownload/40945/ganga_ghat_ka_pani_piya_hai
206,Gao Senorita Geet Pyar Ke,Nikamma,1983,R D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale& Mahahmad Rafi,https://www.youtube.com/watch?v=wzoQSfHfuPw,http://mymp3song.org/filedownload/12162/gao_senorita_geet_pyar_ke
207,Gaon Galiyon Fulo Kaliyon,Bezubaan,1982,Ramlaxaman,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=l1DcVtKqngE,http://mymp3song.org/filedownload/40007/gaon_galiyon
208,Gaon Mein Mach Gaya Shor,Dakait,1987,R D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale & Suresh Wadkar,https://www.youtube.com/watch?v=BPx3Cy3Itys,http://mymp3song.org/filedownload/20288/gaon_mein_mach_gaya_shor
209,Gayi Kam Se Gayi ye Ladki,Anjane Mein,1978,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=GeagzD2eFQ4,http://mymp3song.org/filedownload/12936/gayi_kaam_se_gayi_ye_ladki
210,Ge Ge Geli Zara Timbaktu Kathamandu,Jhomroo,1961,Kishor Kumar,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=Qq7Z1ftlAYo,http://mymp3song.org/filedownload/44151/ge_ge_geli_zara_timbaktu_kathmandu
211,Geet Gata Hoon Main,Lal Patthar,1971,Shankar Jaykishan,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=Ays7xJK8UF8,http://mymp3song.org/filedownload/38333/geet_gata_hoon_main
212,Ghere Halke Halke Ghere,Duniya ,1984,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=aWCh09Lb2N0,http://mymp3song.org/filedownload/20302/gehre_halke_halke_gehre
213,Gham Ka Phasana,Manchali,1973,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar &Leena Chandavarkar,https://www.youtube.com/watch?v=VzYy290I3No,http://mymp3song.org/filedownload/10603/gham_ka_fasana
214,Gharse Chali Thi Main,Ghazab,1982,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=qn60uJt6ecA,http://mymp3song.org/filedownload/18061/ghar_se_chali_thi_main
215,Ghungaroo ki Tarah Bajata Hi Raha ,Chor Machaye Shor,1974,Ravindra Jain,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=SRY4oEWaYsk,http://mymp3song.org/filedownload/3332/ghunghroo_ki_tarah_bajta_hi_raha
216,Gir Gaya Zumka Girne Do,Jugnu,1973,S D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=aW2qKjPb5ik,http://mymp3song.org/filedownload/10362/gir_gaya_jhumka_girne_do
217,Gokul Ki Galiyonka Gwala,Raste Pyar Ke,1982,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Asha Bhosale & Usha Mangeshkar,https://www.youtube.com/watch?v=toJiC53PGiE,http://mymp3song.org/filedownload/12803/gokul_ki_galiyon_ka_gwala
218,Goli Andar Dam Bahar,Pyar Mohabbat,1988,laxmikant Pyarelal,Duet,Male,Kishor Kumar&Laxmikant&Mahamad Ali Mahamood,https://www.youtube.com/watch?v=_-YBQ5s_RNU,http://mymp3song.org/filedownload/41165/goli_andar_dam_bahar
219,Goom Hai Kisike Pyar mein,Rampur Ka Lakshman,1972,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=sPiOMuvzSI8,http://mymp3song.org/filedownload/12983/goom_hai_kisi_ke_pyar_mein
220,Hum The Who Thi,Chalti Ka Naam Gaadi ,1958,S D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=k7S79fOgikc,http://mymp3song.org/filedownload/184/hum_the_woh_thi
221,Gore Rang Pe Na Itana,Roti,1974,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=3Iz6imkVUTc,http://mymp3song.org/filedownload/46585/gore_rang_pe_na_itna
222,Gori Gori Gaon Ki Gori Re,Ye Gulistan Hamara,1972,S D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=J27QkCAc4FU,http://mymp3song.org/filedownload/43885/gori_gori_gaon_ki_gori_re
223,Gori Ho Kali Ho,Biwi O Biwi,1981,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=kk65DaSlvCQ,http://mymp3song.org/filedownload/5243/gori_ho_kali_ho
224,Gori Tere Ang Ang Mein,Tohafa,1984,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=C4pSK-8CW5M,http://mymp3song.org/filedownload/13736/gori_tere_ang_ang_main
225,Gori Teri Javani Pe,Kalakar,1983,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=7FS9HV8IxnU,http://mymp3song.org/filedownload/11694/gori_teri_jawani_pe
226,Goriya Hamen Jeena Teri Gali Mein,Pyara Dushman,1980,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=uzoXtxUiobw,http://mymp3song.org/filedownload/40953/goriya_hamen_jeena_teri_gali_mein
227,Gulmoharr Gar Tumhara Nam Hota,Devata,1978,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=I6Muu4qI6bs,http://mymp3song.org/filedownload/20359/gulmohar_gar_tumhara_naam_hota
228,Gumsum Si Khoi Khoi,Badalte Rishte,1978,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Anuradha Paudwal,https://www.youtube.com/watch?v=pTBNI_JY9kc,http://mymp3song.org/filedownload/5297/gumsum_si_khoi_khoi
229,Guni Jano Bhakt Jano,Aasoon Aur Muskan,1970,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=Etx0Y5YmACs,http://mymp3song.org/filedownload/14203/guni_jano_bhakt_jano
230,Gussa Chhodh Di Na Tod,Maqsad,1984,Bappi Lahiri,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=MGg-HsXtJU0,http://mymp3song.org/filedownload/56224/gussa_chhodh_dil_na_tod
231,Gussa Itana Haseen Hai To,Maryada,1971,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=VzYY4ZXNSS8,http://mymp3song.org/filedownload/39134/gussa_itna_haseen_hai_to
232,Ha Paheli Bar Ek Ladki Mera,Aur Kaun,1979,Bappi Lahiri,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=7FjPF_92sUo,http://mymp3song.org/filedownload/12755/ha_pehli_baar_ek_ladki_mera
233,Hal Chal Thik Thak Hai,Mere Apne,1971,Salil Chaudhari,Duet,Male,Kishor Kumar& Mukesh,https://www.youtube.com/watch?v=NykVp7qG_Ss,http://mymp3song.org/filedownload/10696/haal_chaal_thik_thak_hai
234,Hal Kaisa Hai Janab ka,Chalti Ka Nam gadi,1958,S D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=bFPDaDoruTY,http://mymp3song.org/filedownload/3756/haal_kaisa_hai_janab_ka
235,Hal Kya Hai Dilon Ka,Anokhi Ada,1973,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=jTT05JiYkiw,http://mymp3song.org/filedownload/14114/haal_kya_hai_dilon_ka
236,Hal Tujhe Apni Duniya Ka,Aasha ,1957,C Ramchandra,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=bKOeMFRNopU,http://mymp3song.org/filedownload/13631/haal_tujhe_apani_duniya_ka
237,Haay Kya Soch Rahi Ho,Meri Aawaj Suno,1981,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=7Vo7KDFyLrA,http://mymp3song.org/filedownload/56232/haay_kya_soch_rahi_ho
238,Halke Se Kasak Masak,Amar Deep,1979,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=kZifvOxamcs,http://mymp3song.org/filedownload/12774/halkese_kasak_masak
239,Ham Lafange Hai,Lafange,1975,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=7KnAwodlxCs,http://mymp3song.org/filedownload/38339/ham_lafange_hain
240,Hamara Nam Banarasi Babu,Banarasi Babu,1973,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=_WedMrdzhrs,http://mymp3song.org/filedownload/5420/hamara_naam_banarasi_babu
241,Hamare Sang Sang Chale Ganga Ki Lahare,Ganga Ki Lahare,1964,Chitragupt,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=JKnEaLR5zW8,http://mymp3song.org/filedownload/2859/hamare_sang_sang_chale_ganga_ki_lahren
242,Hum to aap ke divane hai,Aap Ke Diwane,1979,Rajesh Roshan,Duet,male,Kishor Kumar& Amit Kumar,https://www.youtube.com/watch?v=jSbjpHbO928,http://mymp3song.org/filedownload/12605/hum_to_aap_ke_deewane_hain
243,Hum to Muhobbat Karega,Dilli Ka Thag,1958,Ravi ,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=xA2MIc2rAa4,http://mymp3song.org/filedownload/42202/hum_to_mohabbat_karega
244,Hamrahi Manjil Ke Aao Chale,Anokha Daan,1972,Salil Chaudhari,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=QnwqGwmm0mY,http://mymp3song.org/filedownload/38603/hamrahi_manzil_ke_aao_chale
245,Hans Ke Pukar,parachhaiyan,1972,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=B4lWZ9KkNJ0,http://mymp3song.org/filedownload/40923/hans_ke_pukar
246,Hasten Jana Tum,Do Quidi,1989,laxmikant Pyarelal,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=h0hpI4ype9A,http://mymp3song.org/filedownload/43128/hanste_jana_tum
247,Har Chori rani Hiya,Mahan ,1983,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=NjN0dhh5aq4,http://mymp3song.org/filedownload/10412/har_chori_rani_hiya
248,Har Haseen Cheez Ka,Saudagar,1973,Ravindra Jain,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=d3qPBMdobAc,http://mymp3song.org/filedownload/15448/har_haseen_cheez_ka
249,Har Koi Chahata Hai,EkMutthi Aasaman,1973,Madan Mohan,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=lIOhSl9CDsw,http://mymp3song.org/filedownload/38401/har_koi_chahta_hai
250,hasino ki ye Shaam hai,Aan Aur Shaan,1984,R D Burman,Duet,Male &Chorus,Kishor Kumar,https://www.youtube.com/watch?v=Ra5Z_Gb5kh8,http://mymp3song.org/filedownload/12299/hasino_ki_yeh_shaam_hai
251,Hasarat Hi Rahi Hamse Bhi Kabhi,Bombay Ka Chor,1962,Ravi ,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=SLC4saJRlSA,http://mymp3song.org/filedownload/8538/hasrat_hi_rahi_humse_bhi_kabhi
252,Hat Ja Babu Nahi to Uda dunga,Khud-Daar,1982,Rajesh Roshan,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=7wJcKSpcOLg,http://mymp3song.org/filedownload/11701/hat_ja_bajoo_nahin_to_uda_doonga
253,Hum Tumse Mile ,Rocky,1981,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=WBVfGXj6o_c,http://mymp3song.org/filedownload/12807/hum_tumse_mile
254,Hawa Pichhale Pahar,Naya Andaj,1956,O P Nayyar,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=1Ma-4DMGkcY,http://mymp3song.org/filedownload/40035/hawa_pichhle_pahar
255,Hawaaon Pe Likh Do,Do Duni Char,1968,Hemant Kumar,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=q7qWj3nnwRA,http://mymp3song.org/filedownload/42455/hawaaon_pe_likh_do
256,Hay Hay Yeh Nigahen,Paying Gust,1957,S D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=3EoQ0XqOp3s,http://mymp3song.org/filedownload/17734/hay_hay_yeh_nigahen
257,Hay Re Hay Re Ye Dil Mera,Bada Kabutar,1973,R D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=-_lZ5Bn4rLo,http://mymp3song.org/filedownload/5392/hay_re_hay_re_yeh_dil_mera
258,Haye Rama Haye Rama,Majaal,1987,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=_cXRTu_C4P4,http://mymp3song.org/filedownload/10323/haye_rama_haye_rama
259,Haye Re Haye tera Ghungta,Dhongee,1979,R D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=H0iG8xZ6ysY,http://mymp3song.org/filedownload/42647/haye_re_haye_tera_ghunghta
260,Hazaar Rahen MudKe Dekhin,Thodisi Bewafai,1980,Khayyam,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=4uvmfa2B3Iw,http://mymp3song.org/filedownload/13871/hazaar_rahen_mud_ke_dekhin
261,He Gori Banke Chhori,Badhati Ka Nam Dadhi,1974,Kishor Kumar,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=5ZQaPnI6_g4,http://mymp3song.org/filedownload/39870/he_gori_banki_chhori
262,He Jhoome re Jhoome Dil Mera,Jhoomroo,1961,Kishor Kumar,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=2z1XIRQ5jzc,http://mymp3song.org/filedownload/44149/he_jhoome_re_jhoome_dil_mera
263,He re Kanhaiya,Chhoti bahu,1971,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=y3a-ym7x_0I,http://mymp3song.org/filedownload/41196/he_re_kanhaiya
264,He Suno Meri  Baat,Yeh Gulistan Hamara,1972,S D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=BfeSC_muTgA,http://mymp3song.org/filedownload/43883/he_suno_meri_baat
265,Hello Darling,Darling Darling,1977,R D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=CCEb8oKqf80,http://mymp3song.org/filedownload/42596/hello_darling
266,Hello Hello Ji Kaho Kya Hai Ji,Bombay Ka Chor,1962,Ravi ,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=0OIOm06iY5c,http://mymp3song.org/filedownload/8534/hello_hello_ji_kaho_kya_hai_ji
267,Hey Babu Yeh hai Jamana,Bhagam Bhag,1952,O P Nayyar,Duet,Male,Kishor Kumar& Mahammad Rafi,https://www.youtube.com/watch?v=C0XidSjiiEA,http://mymp3song.org/filedownload/5636/hey_babu_yeh_hai_zamana
268,Hey Chor Ko Pakado,Dilwala,1986,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=gR7qhHPl35s,http://mymp3song.org/filedownload/46116/hey_chor_ko_pakdo
269,Hey Devdas Nahin Nahin Main Chandanidas ,Mera Yar Mera Dushman,1987,Bappi Lahiri,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=XUJxvM-p0m0,http://mymp3song.org/filedownload/39335/hey_devdas_nahin_nahin_main_chandnidas
270,Hey Maine Kasam Li,Tere Mere Sapane,1971,S D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=x8sV7zb-YvI,http://mymp3song.org/filedownload/14029/hey_maine_kasam_li
271,Hindu Hoon main Na Musalman,Maha Chor,1976,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=G6y-prrUhOI,http://mymp3song.org/filedownload/10566/hindu_hoon_main_na_musalman
272,Hum The Who Thi,Chalti Ka Nam gadi,1958,S D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=k7S79fOgikc,http://mymp3song.org/filedownload/3755/hum_the_woh_thi
273,Ho Gyrah Honge Sare,Savera,1972,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=gHtKVWXb1Rk,http://mymp3song.org/filedownload/42462/ho_gyarah_honge_sare
274,Ho jata Hai Pyar ,kasauti,1974,Kalyanji Aanandji,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=Qt5rVA3IfdU,http://mymp3song.org/filedownload/12020/ho_jata_hai_pyar
275,Ho jaye phir Us din Ka jo Wada,Dhan Daulat,1980,R D Burman,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=f_YxJ-WdofU,http://mymp3song.org/filedownload/42679/ho_jaye_phir_us_din_ka_jo_wada
276,Ho Maine Dil Diya,Zameen Aasaman,1984,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=29W5zv1VlJM&spfreload=10,http://mymp3song.org/filedownload/8123/ho_maine_dil_diya
277,Ho Paradesiya,Mr.Natawarlal,1979,Rajesh Roshan,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=oq-AX2yWXdo,http://mymp3song.org/filedownload/10504/ho_pardesia
278,Hoga Thanedar Too,Shahenshah,1988,"Utpal Biswas, Amar Biswas",Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=75N8H4MgCsU,http://mymp3song.org/filedownload/15331/hoga_thanedar_too
279,Holi Ayee re,Mashaal ,1984,Hridaynath mangeshkar,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar& Mahedra kapur,https://www.youtube.com/watch?v=6MNxrueCOCg,http://mymp3song.org/filedownload/10407/holi_ayee_re
280,Holi Ke din,Sholay,1975,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=S31R6Zr6les,http://mymp3song.org/filedownload/15425/holi_ke_din
281,Hua Kya Agar Tu Zara Bevafa,Dream Girl,1977,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Hema Malini,https://www.youtube.com/watch?v=53zvt623PHw,http://mymp3song.org/filedownload/20374/hua_kya_agar_tu_zara_bewafa
282,Hum Aur Tum the Sathi,Hamara Tumhara,1979,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=FRuu9XfPjaA,http://mymp3song.org/filedownload/3608/hum_aur_tum_the_saathi
283,Hum Aur Tum Tum Aur Hum,Daag,1973,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=6FVg7iwaxNI,http://mymp3song.org/filedownload/20416/hum_aur_tum_tum_aur_hum
284,Hum Banjaron Ki Baat Mat Puchho Ji,Dharam Veer,1977,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=9YvC85nkPR0,http://mymp3song.org/filedownload/20370/hum_banjaron_ki_baat_mat_poochho_ji
285,Hum Bechare Pyar Ke Mare,Rangoli,1961,Shankar Jaykishan,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=68uoBoSW2So,http://mymp3song.org/filedownload/13285/hum_bechare_pyar_ke_mare
286,Hum Bewafa hargij Na The,Shalimar,1978,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=2ODQEjSUnok,http://mymp3song.org/filedownload/15067/hum_bewafa_hargiz_na_the
287,Hum Bhi yahan Tum Bhi Yahan,Taaqat,1982,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Anuradha Paudwal& Hemlata,https://www.youtube.com/watch?v=PSc0vvOWH-o,http://mymp3song.org/filedownload/43168/hum_bhi_yahan_tum_bhi_yahan
288,Hum Bolega to Bologe ke bolata Hai,kasauti,1974,Kalyanji Aanandji,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=lWexR4mHTo0,http://mymp3song.org/filedownload/12019/hum_bolega_to_bologe_ki_bolta_hai
289,Hum Chup hai,Faasale,1985,Shiv Hari,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=hxjPGPLoMZQ,http://mymp3song.org/filedownload/931/hum_chup_hain
290,Hum Dono Do Premi,Ajanabee,1974,R D Burman,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=d7ABnmJETxE,http://mymp3song.org/filedownload/14099/hum_dono_do_premi
291,Hum Dono Mein,Khatron ke Khiladi,1988,laxmikant Pyarelal,Duet,Male&Female,kishor Kumar& Alka Yagnik,https://www.youtube.com/watch?v=2NFL1JOXL5g,http://mymp3song.org/filedownload/62465/hum_dono_mein
292,Hum hai  Rahi Pyar Ke,Nau Do Gyarah,1957,S D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=IHIGwUjtfrA,http://mymp3song.org/filedownload/12869/hum_hain_rahi_pyar_ke
293,Hum jab Honge Saath Sal ke,Kal Aaj Aur Kal,1971,Shankar Jaykishan,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=han4FdTe_9I,http://mymp3song.org/filedownload/12047/hum_jab_honge_saath_saal_ke
294,Hum Kitane Nadan The Yaron,Sitamgar,1985,R D Burman,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=E1XJkGD-eng,http://mymp3song.org/filedownload/15358/hum_kitne_nadan_the_yaaron
295,Hum Ko Mohabbat Ho Gyee hai,Hath Ki Safai,1974,Kalyanji Aanandji,Duet,Male&Female,Kishor Kumar& Lata Mangeshkar,https://www.youtube.com/watch?v=UiiI6tdMDW8,http://mymp3song.org/filedownload/3654/hum_ko_mohabbat_ho_gai_hai
296,Hum Ko Nikaloge Ghar se,Chaila Babu,1977,laxmikant Pyarelal,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=yeY5hwcrel0,http://mymp3song.org/filedownload/46013/hum_ko_nikaloge_ghar_se
297,Hum Kya Hai,Anand Aur Anand ,1984,R D Burman,Duet,Male&Female,kishor Kumar& Pinaz Masani,https://www.youtube.com/watch?v=0nQVoteHIro,http://mymp3song.org/filedownload/12281/hum_kya_hain
298,Hum Matawale Naujawan,Shararat,1959,Shankar Jaykishan,Solo,Male,Kishor Kumar,https://www.youtube.com/watch?v=ENC2bbnk-0w,http://mymp3song.org/filedownload/15636/hum_matwale_naujawan
299,Hum Nahin Jhoomte hai,jani Dost,1983,Bappi Lahiri,Duet,Male&Female,Kishor Kumar& Asha Bhosale ,https://www.youtube.com/watch?v=Xji96I9TQ3M,http://mymp3song.org/filedownload/44277/hum_nahin_jhoomte_hai
300,Hum PremiPrem karana jane,Paravarish,1977,laxmikant Pyarelal,Duet,male,Kishor Kumar& Mahammad Rafi& Shailendra Singh,https://www.youtube.com/watch?v=wrV1xiZF_Yw,http://mymp3song.org/filedownload/17888/hum_premi_prem_karna_janen
